                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.191,                 7.3834,                 2.4799,                      0,                      0,                      0,                      0,                 3.6249,                 7.8972,                  2.552,                      0,                      0,                      0
                      2,                 3.3034,                 7.4891,                 2.6069,                      0,                      0,                      0,                      0,                 3.6193,                 7.8938,                 2.5487,              1.056e-05,              1.056e-05,              1.056e-05
                      3,                 3.4411,                 7.4374,                 2.5578,                      0,                      0,                      0,                      0,                 3.5926,                 7.8761,                 2.5386,              2.002e-05,              2.002e-05,              2.002e-05
                      4,                 3.4647,                 7.3425,                 2.7432,                      0,                      0,                      0,                      0,                 3.5607,                 7.8196,                 2.5267,              2.838e-05,              2.838e-05,              2.838e-05
                      5,                 3.4154,                 7.5011,                 2.2824,                      0,                      0,                      0,                      0,                 3.5312,                 7.7467,                 2.5094,             3.5641e-05,             3.5641e-05,             3.5641e-05
                      6,                 3.3605,                 7.1743,                 2.4705,                      0,                      0,                      0,                      0,                 3.4819,                 7.6538,                 2.4812,             4.1801e-05,             4.1801e-05,             4.1801e-05
                      7,                 3.2908,                 7.2907,                 2.4547,                      0,                      0,                      0,                      0,                 3.4321,                 7.5576,                 2.4506,             4.6862e-05,             4.6862e-05,             4.6862e-05
                      8,                 3.4368,                 7.2773,                  2.329,                      0,                      0,                      0,                      0,                 3.3765,                 7.4502,                 2.4273,             5.0823e-05,             5.0823e-05,             5.0823e-05
                      9,                 3.0313,                 6.9182,                 2.5827,                      0,                      0,                      0,                      0,                 3.3351,                 7.3491,                 2.4188,             5.3684e-05,             5.3684e-05,             5.3684e-05
                     10,                 3.3102,                 7.1115,                 2.4785,                      0,                      0,                      0,                      0,                 3.3031,                 7.2278,                 2.4117,             5.5444e-05,             5.5444e-05,             5.5444e-05
                     11,                  3.313,                 6.9601,                 2.4448,                      0,                      0,                      0,                      0,                 3.2843,                 7.1044,                 2.4003,             5.6106e-05,             5.6106e-05,             5.6106e-05
                     12,                 3.1661,                 6.8761,                  2.046,                      0,                      0,                      0,                      0,                 3.2831,                 6.9829,                 2.4088,             5.5667e-05,             5.5667e-05,             5.5667e-05
                     13,                 3.2041,                 6.6832,                  2.597,                      0,                      0,                      0,                      0,                 3.2329,                 6.8728,                 2.3814,             5.4128e-05,             5.4128e-05,             5.4128e-05
                     14,                 3.2003,                 6.6695,                 2.3542,                      0,                      0,                      0,                      0,                 3.1896,                 6.7555,                 2.3639,             5.1489e-05,             5.1489e-05,             5.1489e-05
                     15,                  3.072,                 6.4939,                 2.3531,                      0,                      0,                      0,                      0,                 3.1713,                 6.6474,                 2.3572,             4.7751e-05,             4.7751e-05,             4.7751e-05
                     16,                 3.0026,                 6.4515,                  2.522,                      0,                      0,                      0,                      0,                 3.1761,                 6.5311,                  2.361,             4.2912e-05,             4.2912e-05,             4.2912e-05
                     17,                 2.8992,                 6.3694,                 2.3013,                      0,                      0,                      0,                      0,                 3.1716,                 6.4357,                  2.359,             3.6974e-05,             3.6974e-05,             3.6974e-05
                     18,                 2.9772,                 6.2342,                 2.1423,                      0,                      0,                      0,                      0,                 3.1716,                 6.4357,                  2.359,             2.9936e-05,             2.9936e-05,             2.9936e-05
                     19,                 3.0176,                 6.3135,                 2.3844,                      0,                      0,                      0,                      0,                 3.1638,                 6.3921,                 2.3574,             2.1798e-05,             2.1798e-05,             2.1798e-05
                     20,                 2.9142,                 6.3011,                  2.246,                      0,                      0,                      0,                      0,                 3.1638,                 6.3921,                 2.3574,              1.256e-05,              1.256e-05,              1.256e-05
